Site Name,City,Country,State,Street Address,Address,Latitude,Longitude,Coordinates,Zip Code,NPL Status,HRS Score
RAM LEATHER CARE SITE,CHARLOTTE,U.S.A,NC,15100 ALBEMARLE ROAD,"15100 ALBEMARLE ROAD, CHARLOTTE, NC, U.S.A, 28227",35.2318014,-80.602747,"35.2318014, -80.602747",28227,Final NPL,40.43
REASOR CHEMICAL COMPANY,CASTLE HAYNE,U.S.A,NC,NC 132,"NC 132, CASTLE HAYNE, NC, U.S.A, 28429",34.3447115,-77.8986188,"34.3447115, -77.8986188",28429,Deleted NPL,
ROADSIDE PCB SPILL,210 MILES OF ROADS,U.S.A,NC,210 MILES OF NC HWY,"210 MILES OF NC HWY, 210 MILES OF ROADS, NC, U.S.A, 27589",34.9371146,-78.6111742,"34.9371146, -78.6111742",27589,Deleted NPL,
SIGMON'S SEPTIC TANK SERVICE,STATESVILLE,U.S.A,NC,1268 EUFOLA ROAD,"1268 EUFOLA ROAD, STATESVILLE, NC, U.S.A, 28677",35.7203078,-80.9683164,"35.7203078, -80.9683164",28677,Final NPL,30.03
TRIANGLE PACIFIC CORP IXL DIVISION,ELIZABETH CITY,U.S.A,NC,"OFF NC HWY 168, ROUTE 4","OFF NC HWY 168, ROUTE 4, ELIZABETH CITY, NC, U.S.A, 27909",36.3227582,-76.163622,"36.3227582, -76.163622",27909,Not NPL,
WARD TRANSFORMER,RALEIGH,U.S.A,NC,6852 MT. HERMAN ROAD,"6852 MT. HERMAN ROAD, RALEIGH, NC, U.S.A, 27560",35.9008501,-78.7729997,"35.9008501, -78.7729997",27560,Final NPL,50
WEYERHAEUSER CO PLYMOUTH WOOD TRTNG PT,PLYMOUTH,U.S.A,NC,PULP MILL ROAD AND NC-149,"PULP MILL ROAD AND NC-149, PLYMOUTH, NC, U.S.A, 27962",35.8588748,-76.7771713,"35.8588748, -76.7771713",27962,Not NPL,
WRIGHT CHEMICAL CORPORATION,RIEGELWOOD,U.S.A,NC,STATE RD. 1878,"STATE RD. 1878, RIEGELWOOD, NC, U.S.A, 28456",34.3205969,-78.2052748,"34.3205969, -78.2052748",28456,Final NPL,48.03
ARSENIC TRIOXIDE SITE,SOUTHEAST,U.S.A,ND,"LIDGERWOOD, RUTLND, WYNDMERE","LIDGERWOOD, RUTLND, WYNDMERE, SOUTHEAST, ND, U.S.A, 58053",46.0755158,-97.1517554,"46.0755158, -97.1517554",58053,Deleted NPL,
MINOT LANDFILL,MINOT,U.S.A,ND,"S27, T115N, R83W","S27, T115N, R83W, MINOT, ND, U.S.A, 58701",48.2329668,-101.2922906,"48.2329668, -101.2922906",58701,Deleted NPL,
10TH STREET SITE,COLUMBUS,U.S.A,NE,28TH AVE & 10TH ST,"28TH AVE & 10TH ST, COLUMBUS, NE, U.S.A, 68601",41.4263009,-97.362022,"41.4263009, -97.362022",68601,Final NPL,28.9
BRUNO CO-OP ASSOCIATION/ASSOCIATED PROPERTIES,BRUNO,U.S.A,NE,FREMONT ST & RAILROAD ST,"FREMONT ST & RAILROAD ST, BRUNO, NE, U.S.A, 68014",41.2846693,-96.961225,"41.2846693, -96.961225",68014,Final NPL,50
CLEBURN STREET WELL,GRAND ISLAND,U.S.A,NE,NORTH FRONT STREET,"NORTH FRONT STREET, GRAND ISLAND, NE, U.S.A, 68801",40.9276769,-98.341251,"40.9276769, -98.341251",68801,Final NPL,
CORNHUSKER ARMY AMMUNITION PLANT,GRAND ISLAND,U.S.A,NE,6 MI W OF,"6 MI W OF, GRAND ISLAND, NE, U.S.A, 68802",40.9260294,-98.342947,"40.9260294, -98.342947",68802,Final NPL,51.13
GARVEY ELEVATOR,HASTINGS,U.S.A,NE,INDUSTRIAL PARK WEST-HIGHWAY 6 & SUMMIT,"INDUSTRIAL PARK WEST-HIGHWAY 6 & SUMMIT, HASTINGS, NE, U.S.A, 68901",40.5679984,-98.4083694,"40.5679984, -98.4083694",68901,Final NPL,50
HASTINGS GROUND WATER CONTAMINATION,HASTINGS,U.S.A,NE,E CENTRAL HASTINGS,"E CENTRAL HASTINGS, HASTINGS, NE, U.S.A, 68901",40.5799979,-98.3716549,"40.5799979, -98.3716549",68901,Final NPL,42.24
IOWA-NEBRASKA LIGHT & POWER CO,NORFOLK,U.S.A,NE,102-104 SOUTH 7TH STREET,"102-104 SOUTH 7TH STREET, NORFOLK, NE, U.S.A, 68701",42.0326623,-97.4168459,"42.0326623, -97.4168459",68701,Final NPL,40.8
LINDSAY MANUFACTURING CO.,LINDSAY,U.S.A,NE,HWY 91,"HWY 91, LINDSAY, NE, U.S.A, 68644",41.6999994,-97.6937324,"41.6999994, -97.6937324",68644,Final NPL,47.91
NEBRASKA ORDNANCE PLANT (FORMER),MEAD,U.S.A,NE,.5 MI E OF,".5 MI E OF, MEAD, NE, U.S.A, 68041",41.2286493,-96.489212,"41.2286493, -96.489212",68041,Final NPL,31.94
OGALLALA GROUND WATER CONTAMINATION,OGALLALA,U.S.A,NE,SW CORNER OF W 1ST & C ST,"SW CORNER OF W 1ST & C ST, OGALLALA, NE, U.S.A, 69153",41.1244269,-101.729604,"41.1244269, -101.729604",69153,Final NPL,50
OLD HWY 275 AND N 288TH STREET,VALLEY,U.S.A,NE,U.S. HIGHWAY 275 AND N 288TH ST.,"U.S. HIGHWAY 275 AND N 288TH ST., VALLEY, NE, U.S.A, 68064",41.3197904,-96.3680201,"41.3197904, -96.3680201",68064,Final NPL,50
OMAHA LEAD,OMAHA,U.S.A,NE,INTERSECTION I480 & ABBOTT DRIVE,"INTERSECTION I480 & ABBOTT DRIVE, OMAHA, NE, U.S.A, 68102-1895",41.271897,-95.9258617,"41.271897, -95.9258617",68102-1895,Final NPL,
PARKVIEW WELL,GRAND ISLAND,U.S.A,NE,INTERSECTION OF BLAINE STREET & STOLLEY,"INTERSECTION OF BLAINE STREET & STOLLEY, GRAND ISLAND, NE, U.S.A, 68803-5604",40.915715,-98.3679238,"40.915715, -98.3679238",68803-5604,Final NPL,50
PCE - CARRIAGE CLEANERS,BELLEVUE,U.S.A,NE,2110 SOUTH FRANKLIN STREET,"2110 SOUTH FRANKLIN STREET, BELLEVUE, NE, U.S.A, 68005",41.1377954,-95.8940565,"41.1377954, -95.8940565",68005,Final NPL,50
PCE SOUTHEAST CONTAMINATION,YORK,U.S.A,NE,INTERSECTION OF 5TH STREET AND LINCOLN AVENUE,"INTERSECTION OF 5TH STREET AND LINCOLN AVENUE, YORK, NE, U.S.A, 68467",40.8381796,-97.5974639,"40.8381796, -97.5974639",68467,Final NPL,43.33
PCE/TCE NORTHEAST CONTAMINATION,YORK,U.S.A,NE,522 W 26TH STREET,"522 W 26TH STREET, YORK, NE, U.S.A, 68467",40.8887668,-97.6003245,"40.8887668, -97.6003245",68467,Final NPL,50
SHERWOOD MEDICAL CO.,NORFOLK,U.S.A,NE,RT 4 S HWY 81 1 MI S OF,"RT 4 S HWY 81 1 MI S OF, NORFOLK, NE, U.S.A, 68701",40.9196534,-97.5975648,"40.9196534, -97.5975648",68701,Final NPL,50
WAVERLY GROUND WATER CONTAMINATION,WAVERLY,U.S.A,NE,SEC 16 T11N R8E,"SEC 16 T11N R8E, WAVERLY, NE, U.S.A, 68462",40.9172208,-96.5272313,"40.9172208, -96.5272313",68462,Deleted NPL,
WEST HIGHWAY 6 & HIGHWAY 281,HASTINGS,U.S.A,NE,INDUSTRIAL PARK WEST-HIGHWAY 6 &,"INDUSTRIAL PARK WEST-HIGHWAY 6 &, HASTINGS, NE, U.S.A, 68901",40.5682788,-98.4068223,"40.5682788, -98.4068223",68901,Final NPL,50
AUBURN ROAD LANDFILL,LONDONDERRY,U.S.A,NH,AUBURN RD,"AUBURN RD, LONDONDERRY, NH, U.S.A, 03053",42.9291532,-71.3591044,"42.9291532, -71.3591044",3053,Final NPL,36.3
BEEDE WASTE OIL,PLAISTOW,U.S.A,NH,7 THROUGH 11 KELLEY ROAD,"7 THROUGH 11 KELLEY ROAD, PLAISTOW, NH, U.S.A, 03865",42.854179,-71.106191,"42.854179, -71.106191",3865,Final NPL,70.71
CHLOR-ALKALI FACILITY (FORMER),BERLIN,U.S.A,NH,ADJACENT TO SAW MILL DAM,"ADJACENT TO SAW MILL DAM, BERLIN, NH, U.S.A, 03570",44.4867246,-71.1661881,"44.4867246, -71.1661881",3570,Final NPL,30.54
COAKLEY LANDFILL,NORTH HAMPTON,U.S.A,NH,480 BREAKFAST HILL RD,"480 BREAKFAST HILL RD, NORTH HAMPTON, NH, U.S.A, 03840",43.0084913,-70.8112752,"43.0084913, -70.8112752",3840,Final NPL,29.16
COLLINS & AIKMAN PLANT (FORMER),FARMINGTON,U.S.A,NH,Off Route 11 between Paulson Road to the NW,"Off Route 11 between Paulson Road to the NW, FARMINGTON, NH, U.S.A, 03835",43.3788367,-71.0583249,"43.3788367, -71.0583249",3835,Final NPL,50
DOVER MUNICIPAL LANDFILL,DOVER,U.S.A,NH,TOLEND RD,"TOLEND RD, DOVER, NH, U.S.A, 03820",43.2051757,-70.9338581,"43.2051757, -70.9338581",3820,Final NPL,36.98
FLETCHER'S PAINT WORKS & STORAGE,MILFORD,U.S.A,NH,21 ELM ST.,"21 ELM ST., MILFORD, NH, U.S.A, 03055",42.8355302,-71.6527662,"42.8355302, -71.6527662",3055,Final NPL,35.39
KEARSARGE METALLURGICAL CORP.,CONWAY,U.S.A,NH,MILL ST-RTE 113,"MILL ST-RTE 113, CONWAY, NH, U.S.A, 03818",43.9950826,-71.0586582,"43.9950826, -71.0586582",3818,Final NPL,38.45
KEEFE ENVIRONMENTAL SERVICES (KES),EPPING,U.S.A,NH,EXETER RD,"EXETER RD, EPPING, NH, U.S.A, 03042",43.0283276,-71.0444447,"43.0283276, -71.0444447",3042,Final NPL,65.19
MOHAWK TANNERY,NASHUA,U.S.A,NH,FAIRMONT STREET,"FAIRMONT STREET, NASHUA, NH, U.S.A, 03060",42.7649213,-71.4786073,"42.7649213, -71.4786073",3060,Proposed NPL,52.4
MOTTOLO PIG FARM,RAYMOND,U.S.A,NH,BLUEBERRY HILL RD,"BLUEBERRY HILL RD, RAYMOND, NH, U.S.A, 03077",42.9924978,-71.1754548,"42.9924978, -71.1754548",3077,Final NPL,40.7
NEW HAMPSHIRE PLATING CO.,MERRIMACK,U.S.A,NH,WRIGHT AVE.,"WRIGHT AVE., MERRIMACK, NH, U.S.A, 03054",42.8508178,-71.4843122,"42.8508178, -71.4843122",3054,Final NPL,50
OTTATI & GOSS/KINGSTON STEEL DRUM,KINGSTON,U.S.A,NH,HAVERHILL RD RTE 125,"HAVERHILL RD RTE 125, KINGSTON, NH, U.S.A, 03848",42.9085032,-71.0158518,"42.9085032, -71.0158518",3848,Final NPL,53.41
PEASE AIR FORCE BASE,PORTSMOUTH/NEWINGTON,U.S.A,NH,509 CSG/CC,"509 CSG/CC, PORTSMOUTH/NEWINGTON, NH, U.S.A, 03803",43.03,-70.8,"43.03, -70.8",3803,Final NPL,39.42
SAVAGE MUNICIPAL WATER SUPPLY,MILFORD,U.S.A,NH,NEAR RT 101,"NEAR RT 101, MILFORD, NH, U.S.A, 03055",42.8302166,-71.6771069,"42.8302166, -71.6771069",3055,Final NPL,37.52
SOMERSWORTH SANITARY LANDFILL,SOMERSWORTH,U.S.A,NH,BLACKWATER RD,"BLACKWATER RD, SOMERSWORTH, NH, U.S.A, 03878",43.2452381,-70.9011514,"43.2452381, -70.9011514",3878,Final NPL,65.56
SOUTH MUNICIPAL WATER SUPPLY WELL,PETERBOROUGH,U.S.A,NH,RT. 202,"RT. 202, PETERBOROUGH, NH, U.S.A, 03458",42.8782676,-71.9476761,"42.8782676, -71.9476761",3458,Final NPL,35.64
SYLVESTER,NASHUA,U.S.A,NH,GILSON RD,"GILSON RD, NASHUA, NH, U.S.A, 03062",42.7178274,-71.5247433,"42.7178274, -71.5247433",3062,Final NPL,
TIBBETTS ROAD,BARRINGTON,U.S.A,NH,TIBBETTS RD.,"TIBBETTS RD., BARRINGTON, NH, U.S.A, 03825",43.1788806,-71.0337893,"43.1788806, -71.0337893",3825,Final NPL,41.09
TINKHAM GARAGE,LONDONDERRY,U.S.A,NH,RTE 102,"RTE 102, LONDONDERRY, NH, U.S.A, 03053",42.8398773,-71.381488,"42.8398773, -71.381488",3053,Final NPL,43.24
TOWN GARAGE/RADIO BEACON,LONDONDERRY,U.S.A,NH,HOLTON CIRCLE,"HOLTON CIRCLE, LONDONDERRY, NH, U.S.A, 03053",42.8613592,-71.3864985,"42.8613592, -71.3864985",3053,Deleted NPL,
TROY MILLS LANDFILL,TROY,U.S.A,NH,OFF ROCKWOOD POND ROAD,"OFF ROCKWOOD POND ROAD, TROY, NH, U.S.A, 03465",42.7910491,-72.1854853,"42.7910491, -72.1854853",3465,Final NPL,50
A. O. POLYMER,SPARTA TOWNSHIP,U.S.A,NJ,44 STATION ROAD,"44 STATION ROAD, SPARTA TOWNSHIP, NJ, U.S.A, 07871",41.0472417,-74.6304819,"41.0472417, -74.6304819",7871,Final NPL,
AMERICAN CYANAMID CO,BRIDGEWATER,U.S.A,NJ,EASTON TURNPIKE,"EASTON TURNPIKE, BRIDGEWATER, NJ, U.S.A, 08805",40.5909987,-74.6570293,"40.5909987, -74.6570293",8805,Final NPL,
ASBESTOS DUMP,MILLINGTON,U.S.A,NJ,TIFA SQUARE,"TIFA SQUARE, MILLINGTON, NJ, U.S.A, 07946",40.6662818,-74.5170319,"40.6662818, -74.5170319",7946,Deleted NPL,
ATLANTIC RESOURCES,SAYREVILLE,U.S.A,NJ,120 HORSESHOE ROAD,"120 HORSESHOE ROAD, SAYREVILLE, NJ, U.S.A, 08872",40.4793543,-74.3182341,"40.4793543, -74.3182341",8872,Final NPL,50
BEACHWOOD/BERKELEY WELLS,BERKELEY TOWNSHIP,U.S.A,NJ,ATLANTIC CITY BLVD,"ATLANTIC CITY BLVD, BERKELEY TOWNSHIP, NJ, U.S.A, 08722",39.9217875,-74.1644217,"39.9217875, -74.1644217",8722,Deleted NPL,
BOG CREEK FARM,HOWELL TOWNSHIP,U.S.A,NJ,SQUANRUM RD. (MONMOUTH CO. RT. 547),"SQUANRUM RD. (MONMOUTH CO. RT. 547), HOWELL TOWNSHIP, NJ, U.S.A, 07727",40.1645785,-74.2082671,"40.1645785, -74.2082671",7727,Final NPL,43.23
BRICK TOWNSHIP LANDFILL,BRICK TOWNSHIP,U.S.A,NJ,SALLY IKE ROAD,"SALLY IKE ROAD, BRICK TOWNSHIP, NJ, U.S.A, 08723",40.1144834,-74.1227222,"40.1144834, -74.1227222",8723,Final NPL,58.13
BRIDGEPORT RENTAL & OIL SERVICES,BRIDGEPORT,U.S.A,NJ,CEDAR SWAMP RD,"CEDAR SWAMP RD, BRIDGEPORT, NJ, U.S.A, 08014",39.8005738,-75.3275607,"39.8005738, -75.3275607",8014,Final NPL,60.73
BROOK INDUSTRIAL PARK,BOUND BROOK,U.S.A,NJ,100 WEST MAIN STREET,"100 WEST MAIN STREET, BOUND BROOK, NJ, U.S.A, 08805",40.5597921,-74.536899,"40.5597921, -74.536899",8805,Final NPL,58.12
BURNT FLY BOG,MARLBORO TOWNSHIP,U.S.A,NJ,TYLERS LANE,"TYLERS LANE, MARLBORO TOWNSHIP, NJ, U.S.A, 07746",40.3737067,-74.2757671,"40.3737067, -74.2757671",7746,Final NPL,59.16
CALDWELL TRUCKING CO.,FAIRFIELD,U.S.A,NJ,222 PASSAIC AVENUE,"222 PASSAIC AVENUE, FAIRFIELD, NJ, U.S.A, 07004",40.8772089,-74.2721491,"40.8772089, -74.2721491",7004,Final NPL,58.3
CHEMICAL CONTROL,ELIZABETH,U.S.A,NJ,23 SOUTH FRONT ST,"23 SOUTH FRONT ST, ELIZABETH, NJ, U.S.A, 07202",40.6363501,-74.2016989,"40.6363501, -74.2016989",7202,Final NPL,47.13
CHEMICAL INSECTICIDE CORP.,EDISON TOWNSHIP,U.S.A,NJ,30 WHITMAN AV,"30 WHITMAN AV, EDISON TOWNSHIP, NJ, U.S.A, 08817",40.5296205,-74.3652482,"40.5296205, -74.3652482",8817,Final NPL,37.93
"CHEMICAL LEAMAN TANK LINES, INC.",BRIDGEPORT,U.S.A,NJ,CEDAR SWAMP & COOPER RDS,"CEDAR SWAMP & COOPER RDS, BRIDGEPORT, NJ, U.S.A, 08014",39.8005738,-75.3275607,"39.8005738, -75.3275607",8014,Final NPL,47.53
"CHEMSOL, INC.",PISCATAWAY,U.S.A,NJ,FLEMING ST,"FLEMING ST, PISCATAWAY, NJ, U.S.A, 08854",40.5619574,-74.4461479,"40.5619574, -74.4461479",8854,Final NPL,42.69
CIBA-GEIGY CORP.,TOMS RIVER,U.S.A,NJ,RTE #37,"RTE #37, TOMS RIVER, NJ, U.S.A, 08753",39.951834,-74.1495248,"39.951834, -74.1495248",8753,Final NPL,50.33
CINNAMINSON TOWNSHIP (BLOCK 702) GROUND WATER CONTAMINATION,CINNAMINSON TOWNSHIP,U.S.A,NJ,1017 UNION LANDING ROAD,"1017 UNION LANDING ROAD, CINNAMINSON TOWNSHIP, NJ, U.S.A, 08077",40.0154537,-74.9899218,"40.0154537, -74.9899218",8077,Final NPL,37.93
COMBE FILL NORTH LANDFILL,MOUNT OLIVE TOWNSHIP,U.S.A,NJ,GOLDMINE ROAD,"GOLDMINE ROAD, MOUNT OLIVE TOWNSHIP, NJ, U.S.A, 07828",40.877566,-74.7214915,"40.877566, -74.7214915",7828,Deleted NPL,
COMBE FILL SOUTH LANDFILL,CHESTER TOWNSHIP,U.S.A,NJ,PARKER ROAD- BOX 418,"PARKER ROAD- BOX 418, CHESTER TOWNSHIP, NJ, U.S.A, 07930",40.7712902,-74.730689,"40.7712902, -74.730689",7930,Final NPL,45.22
COOPER ROAD,VOORHEES TOWNSHIP,U.S.A,NJ,COOPER ROAD,"COOPER ROAD, VOORHEES TOWNSHIP, NJ, U.S.A, 08043",39.8356903,-74.9355963,"39.8356903, -74.9355963",8043,Deleted NPL,
CORNELL DUBILIER ELECTRONICS INC.,SOUTH PLAINFIELD,U.S.A,NJ,333 HAMILTON BLVD,"333 HAMILTON BLVD, SOUTH PLAINFIELD, NJ, U.S.A, 07080",40.5772631,-74.4133683,"40.5772631, -74.4133683",7080,Final NPL,50.27
COSDEN CHEMICAL COATINGS CORP.,BEVERLY,U.S.A,NJ,CHERRY STREET,"CHERRY STREET, BEVERLY, NJ, U.S.A, 08010",40.059302,-74.924119,"40.059302, -74.924119",8010,Final NPL,33.86
CPS/MADISON INDUSTRIES,OLD BRIDGE TOWNSHIP,U.S.A,NJ,WATERWORKS ROAD,"WATERWORKS ROAD, OLD BRIDGE TOWNSHIP, NJ, U.S.A, 08857",40.4282948,-74.3366612,"40.4282948, -74.3366612",8857,Final NPL,69.73
CROWN VANTAGE LANDFILL,ALEXANDRIA TOWNSHIP,U.S.A,NJ,ADJ. TO DELAWARE RIVER 1/2 MI. SOUTH OF,"ADJ. TO DELAWARE RIVER 1/2 MI. SOUTH OF, ALEXANDRIA TOWNSHIP, NJ, U.S.A, 08848",40.6000823,-75.0961549,"40.6000823, -75.0961549",8848,Deleted NPL,
"CURCIO SCRAP METAL, INC.",SADDLE BROOK TWP,U.S.A,NJ,416 LANZA AVE,"416 LANZA AVE, SADDLE BROOK TWP, NJ, U.S.A, 07662",40.8910833,-74.1027899,"40.8910833, -74.1027899",7662,Final NPL,34.37
"CURTIS SPECIALTY PAPERS, INC",MILFORD,U.S.A,NJ,404 FRENCHTOWN ROAD,"404 FRENCHTOWN ROAD, MILFORD, NJ, U.S.A, 08848",40.5615938,-75.0863576,"40.5615938, -75.0863576",8848,Final NPL,50
D'IMPERIO PROPERTY,HAMILTON TOWNSHIP,U.S.A,NJ,RTE 322,"RTE 322, HAMILTON TOWNSHIP, NJ, U.S.A, 08330",39.4820948,-74.7571147,"39.4820948, -74.7571147",8330,Final NPL,55.79
DAYCO CORP./L.E CARPENTER CO.,WHARTON BOROUGH,U.S.A,NJ,170 N MAIN STREET,"170 N MAIN STREET, WHARTON BOROUGH, NJ, U.S.A, 07885",40.9045669,-74.577142,"40.9045669, -74.577142",7885,Final NPL,46.13
DE REWAL CHEMICAL CO.,KINGWOOD TOWNSHIP,U.S.A,NJ,DELAWARE RIVER DR,"DELAWARE RIVER DR, KINGWOOD TOWNSHIP, NJ, U.S.A, 08825",40.4972446,-75.0616146,"40.4972446, -75.0616146",8825,Final NPL,35.72
DELILAH ROAD,EGG HARBOR TOWNSHIP,U.S.A,NJ,DELILAH & MILL ROADS,"DELILAH & MILL ROADS, EGG HARBOR TOWNSHIP, NJ, U.S.A, 08221",39.4102489,-74.5256316,"39.4102489, -74.5256316",8221,Deleted NPL,
DENZER & SCHAFER X-RAY CO.,BAYVILLE,U.S.A,NJ,HICKORY LANE,"HICKORY LANE, BAYVILLE, NJ, U.S.A, 08721",39.9066751,-74.1644493,"39.9066751, -74.1644493",8721,Deleted NPL,
DIAMOND ALKALI CO.,NEWARK,U.S.A,NJ,80 LISTER AVE,"80 LISTER AVE, NEWARK, NJ, U.S.A, 07105",40.738769,-74.1366913,"40.738769, -74.1366913",7105,Final NPL,35.4
DIAMOND HEAD OIL REFINERY DIV.,KEARNY,U.S.A,NJ,1401 HARRISON TURNPIKE,"1401 HARRISON TURNPIKE, KEARNY, NJ, U.S.A, 07032",40.7494939,-74.1358865,"40.7494939, -74.1358865",7032,Final NPL,30
DOVER MUNICIPAL WELL 4,DOVER,U.S.A,NJ,272 ROUTE46,"272 ROUTE46, DOVER, NJ, U.S.A, 07801",40.887571,-74.543511,"40.887571, -74.543511",7801,Final NPL,28.9
ELLIS PROPERTY,EVESHAM TOWNSHIP,U.S.A,NJ,SHARP ROAD,"SHARP ROAD, EVESHAM TOWNSHIP, NJ, U.S.A, 08053",39.9098076,-74.8659374,"39.9098076, -74.8659374",8053,Final NPL,34.62
EMMELL'S SEPTIC LANDFILL,GALLOWAY TOWNSHIP,U.S.A,NJ,128 ZURICH AVE,"128 ZURICH AVE, GALLOWAY TOWNSHIP, NJ, U.S.A, 08215",39.4928977,-74.5521638,"39.4928977, -74.5521638",8215,Final NPL,50
EVOR PHILLIPS LEASING,OLD BRIDGE TOWNSHIP,U.S.A,NJ,OLD WATER WORKS ROAD,"OLD WATER WORKS ROAD, OLD BRIDGE TOWNSHIP, NJ, U.S.A, 08857",40.4282948,-74.3366612,"40.4282948, -74.3366612",8857,Final NPL,36.64
EWAN PROPERTY,SHAMONG TOWNSHIP,U.S.A,NJ,WALLINGFORD WAY,"WALLINGFORD WAY, SHAMONG TOWNSHIP, NJ, U.S.A, 08088",39.8106843,-74.718465,"39.8106843, -74.718465",8088,Final NPL,50.19
FAIR LAWN WELL FIELD,FAIR LAWN,U.S.A,NJ,IND PARK/HENDERSON BLVD 11 ST,"IND PARK/HENDERSON BLVD 11 ST, FAIR LAWN, NJ, U.S.A, 07410",40.9443912,-74.1341386,"40.9443912, -74.1341386",7410,Final NPL,42.49
FEDERAL AVIATION ADMINISTRATION TECHNICAL CENTER (USDOT),ATLANTIC COUNTY,U.S.A,NJ,ROUTES 563 & 575,"ROUTES 563 & 575, ATLANTIC COUNTY, NJ, U.S.A, 08405",39.36,-74.42,"39.36, -74.42",8405,Final NPL,39.65
FEDERAL CREOSOTE,MANVILLE,U.S.A,NJ,VALERIE DRIVE & LOUISE DRIVE,"VALERIE DRIVE & LOUISE DRIVE, MANVILLE, NJ, U.S.A, 08835",40.5452847,-74.5823853,"40.5452847, -74.5823853",8835,Deleted NPL,
"FLORENCE LAND RECONTOURING, INC., LANDFILL",FLORENCE TOWNSHIP,U.S.A,NJ,CEDAR LANE EXT,"CEDAR LANE EXT, FLORENCE TOWNSHIP, NJ, U.S.A, 08518",40.0833832,-74.7758792,"40.0833832, -74.7758792",8518,Deleted NPL,
FORMER KIL-TONE COMPANY,VINELAND,U.S.A,NJ,527 East Chestnut Avenue,"527 East Chestnut Avenue, VINELAND, NJ, U.S.A, 08360",39.4784483,-75.026158,"39.4784483, -75.026158",8360,Final NPL,65.29
FORT DIX (LANDFILL SITE),PEMBERTON TOWNSHIP,U.S.A,NJ,JULIUSTOWN-BROWNS MILLS RD,"JULIUSTOWN-BROWNS MILLS RD, PEMBERTON TOWNSHIP, NJ, U.S.A, 08562",40.0080621,-74.6522711,"40.0080621, -74.6522711",8562,Deleted NPL,
FRANKLIN BURN,FRANKLIN TOWNSHIP,U.S.A,NJ,SIX LOCATIONS NEAR MARSHALL MILL ROAD,"SIX LOCATIONS NEAR MARSHALL MILL ROAD, FRANKLIN TOWNSHIP, NJ, U.S.A, 08322",39.5905475,-75.0222995,"39.5905475, -75.0222995",8322,Final NPL,40.67
FRIED INDUSTRIES,EAST BRUNSWICK TOWNSHIP,U.S.A,NJ,11 FRESH POND ROAD,"11 FRESH POND ROAD, EAST BRUNSWICK TOWNSHIP, NJ, U.S.A, 08816",40.442608,-74.440511,"40.442608, -74.440511",8816,Final NPL,33.61
FRIEDMAN PROPERTY,UPPER FREEHOLD TWP,U.S.A,NJ,INTERSECTION OF RTS 537 & 539,"INTERSECTION OF RTS 537 & 539, UPPER FREEHOLD TWP, NJ, U.S.A, 08514",40.1396104,-74.4877306,"40.1396104, -74.4877306",8514,Deleted NPL,
GARDEN STATE CLEANERS CO.,MINOTOLA,U.S.A,NJ,"SUMMER ROAD, P.O. BOX 183","SUMMER ROAD, P.O. BOX 183, MINOTOLA, NJ, U.S.A, 08341",39.52023,-74.953337,"39.52023, -74.953337",8341,Final NPL,28.9
GARFIELD GROUND WATER CONTAMINATION,GARFIELD,U.S.A,NJ,WILLARD STREET AND PIERRE AVENUE,"WILLARD STREET AND PIERRE AVENUE, GARFIELD, NJ, U.S.A, 07026",40.8718863,-74.1066416,"40.8718863, -74.1066416",7026,Final NPL,0
GEMS LANDFILL,GLOUCESTER TOWNSHIP,U.S.A,NJ,ERIAL & HICKSTOWN ROADS,"ERIAL & HICKSTOWN ROADS, GLOUCESTER TOWNSHIP, NJ, U.S.A, 08012",39.7791059,-75.0120391,"39.7791059, -75.0120391",8012,Final NPL,68.53
GLEN RIDGE RADIUM SITE,GLEN RIDGE,U.S.A,NJ,CARTERET ST,"CARTERET ST, GLEN RIDGE, NJ, U.S.A, 07028",40.7870006,-74.2110432,"40.7870006, -74.2110432",7028,Deleted NPL,
GLOBAL SANITARY LANDFILL,OLD BRIDGE TOWNSHIP,U.S.A,NJ,ERNSTON ROAD,"ERNSTON ROAD, OLD BRIDGE TOWNSHIP, NJ, U.S.A, 08857",40.4539933,-74.2954889,"40.4539933, -74.2954889",8857,Final NPL,45.92
GOOSE FARM,PLUMSTEAD TOWNSHIP,U.S.A,NJ,RT. 539 BETWEEN RTS 537 & 528,"RT. 539 BETWEEN RTS 537 & 528, PLUMSTEAD TOWNSHIP, NJ, U.S.A, 08533",40.0655821,-74.465952,"40.0655821, -74.465952",8533,Final NPL,47.71
GRAND STREET MERCURY,HOBOKEN,U.S.A,NJ,722 GRAND STREET,"722 GRAND STREET, HOBOKEN, NJ, U.S.A, 07030",40.7466342,-74.0341424,"40.7466342, -74.0341424",7030,Deleted NPL,
HELEN KRAMER LANDFILL,MANTUA TOWNSHIP,U.S.A,NJ,392 Boody Mill Road,"392 Boody Mill Road, MANTUA TOWNSHIP, NJ, U.S.A, 08579",39.776663,-75.1989951,"39.776663, -75.1989951",8579,Final NPL,72.66
"HERCULES, INC. (GIBBSTOWN PLANT)",GIBBSTOWN,U.S.A,NJ,50 NORTH MARKET ST,"50 NORTH MARKET ST, GIBBSTOWN, NJ, U.S.A, 08027",39.8272445,-75.2778926,"39.8272445, -75.2778926",8027,Final NPL,40.36
